GEO,NRG_BAL,UNIT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
European Union - 27 countries (from 2020),Renewable energy sources,Percentage,14.55,16,16.66,17.42,17.82,17.98,18.41,19.1,19.89,22.09
Euro area - 19 countries  (from 2015),Renewable energy sources,Percentage,13.11,14.6,15.23,16.03,16.44,16.65,17.22,17.72,18.5,20.95
Belgium,Renewable energy sources,Percentage,6.3,7.09,7.67,8.04,8.06,8.74,9.14,9.47,9.93,13.00
Bulgaria,Renewable energy sources,Percentage,14.15,15.84,18.9,18.05,18.26,18.76,18.7,20.58,21.55,23.32
Czechia,Renewable energy sources,Percentage,10.95,12.81,13.93,15.07,15.07,14.93,14.8,15.14,16.24,17.30
Denmark,Renewable energy sources,Percentage,23.39,25.47,27.17,29.31,30.47,31.72,34.39,35.16,37.02,31.68
Germany,Renewable energy sources,Percentage,12.47,13.55,13.76,14.39,14.91,14.89,15.48,16.66,17.27,19.31
Estonia,Renewable energy sources,Percentage,25.52,25.59,25.36,26.13,28.99,29.23,29.54,29.97,31.73,30.07
Ireland,Renewable energy sources,Percentage,6.61,7.03,7.52,8.52,9.08,9.19,10.52,10.94,11.98,16.16
Greece,Renewable energy sources,Percentage,11.15,13.74,15.33,15.68,15.69,15.39,17.3,18,19.63,21.75
Spain,Renewable energy sources,Percentage,13.18,14.24,15.08,15.88,16.22,17.02,17.12,17.02,17.85,21.22
France,Renewable energy sources,Percentage,10.81,13.24,13.88,14.36,14.8,15.45,15.85,16.38,17.17,19.11
Croatia,Renewable energy sources,Percentage,25.39,26.76,28.04,27.82,28.97,28.27,27.28,28.05,28.47,31.02
Italy,Renewable energy sources,Percentage,12.88,15.44,16.74,17.08,17.53,17.42,18.27,17.8,18.18,20.36
Cyprus,Renewable energy sources,Percentage,6.25,7.11,8.43,9.14,9.9,9.83,10.48,13.87,13.78,16.88
Latvia,Renewable energy sources,Percentage,33.48,35.71,37.04,38.63,37.54,37.14,39.01,40.02,40.93,42.13
Lithuania,Renewable energy sources,Percentage,19.94,21.44,22.69,23.59,25.75,25.61,26.04,24.7,25.48,26.77
Luxembourg,Renewable energy sources,Percentage,2.86,3.11,3.49,4.47,4.99,5.36,6.19,8.94,7.05,11.70
Hungary,Renewable energy sources,Percentage,13.97,15.53,16.21,14.62,14.5,14.38,13.56,12.55,12.63,13.85
Malta,Renewable energy sources,Percentage,1.85,2.86,3.76,4.74,5.12,6.21,7.22,7.91,8.23,10.71
Netherlands,Renewable energy sources,Percentage,4.52,4.66,4.69,5.42,5.71,5.85,6.51,7.39,8.89,14.00
Austria,Renewable energy sources,Percentage,31.55,32.73,32.67,33.55,33.5,33.37,33.14,33.78,33.76,36.55
Poland,Renewable energy sources,Percentage,10.34,10.96,11.45,11.61,11.88,11.4,11.06,14.94,15.38,16.10
Portugal,Renewable energy sources,Percentage,24.6,24.57,25.7,29.51,30.51,30.86,30.61,30.2,30.62,33.98
Romania,Renewable energy sources,Percentage,21.74,22.83,23.89,24.85,24.79,25.03,24.45,23.88,24.29,24.48
Slovenia,Renewable energy sources,Percentage,20.94,21.55,23.16,22.46,22.88,21.98,21.66,21.38,21.97,25.00
Slovakia,Renewable energy sources,Percentage,10.35,10.45,10.13,11.71,12.88,12.03,11.47,11.9,16.89,17.35
Finland,Renewable energy sources,Percentage,32.53,34.22,36.63,38.63,39.23,38.94,40.86,41.18,42.72,43.80
Sweden,Renewable energy sources,Percentage,47.63,49.4,50.15,51.15,52.22,52.6,53.39,53.92,55.79,60.12
United Kingdom,Renewable energy sources,Percentage,4.39,4.46,5.52,6.74,8.39,9.03,9.86,11.14,12.34,:
